AOapek,Karel,Karel AOapek
Abbey,Edward,Edward Abbey
Abbott,Edwin A.,Edwin A. Abbott
Abelard,Peter,Peter Abelard
Abhinavagupta,,Abhinavagupta
Abnudi,`Abd al-Rahman,`Abd al-Rahman Abnudi
Abrams,Meyer Howard,Meyer Howard Abrams
Acevedo,Elizabeth,Elizabeth Acevedo
Achebe,Chinua,Chinua Achebe
Achterberg,Gerrit,Gerrit Achterberg
Adamovich,Ales,Ales Adamovich
Adams,Douglas,Douglas Adams
Adams,Henry,Henry Adams
Adams,Richard,Richard Adams
Addams,Jane,Jane Addams
Addison,Joseph,Joseph Addison
Adorno,Theodor W.,Theodor W. Adorno
Adorno,Theodor Wiesengrund,Theodor Wiesengrund Adorno
Adorno,Theodor,Theodor Adorno
Aeschylus,,Aeschylus
Aesop,,Aesop
Afanasyev,A. N.,A. N. Afanasyev
Agamben,Giorgio,Giorgio Agamben
Agee,James,James Agee
Agosin,Marjorie,Marjorie Agosin
Aira,Cesar,Cesar Aira
Akhmatova,Anna,Anna Akhmatova
Al-Farabi,,Al-Farabi
Albee,Edward,Edward Albee
Albom,Mitch,Mitch Albom
Alcott,Louisa May,Louisa May Alcott
Aleixandre,Vicente,Vicente Aleixandre
Alexander,Archibald,Archibald Alexander
Alexander,Kwame,Kwame Alexander
Alexander,Michelle,Michelle Alexander
Alexie,Sherman,Sherman Alexie
Alexievich,Svetlana,Svetlana Alexievich
Alighieri,Dante,Dante Alighieri
Allende,Isabel,Isabel Allende
Allingham,Margery,Margery Allingham
Alphen,Hieronymus van,Hieronymus van Alphen
Althusser,Louis,Louis Althusser
Amis,Martin,Martin Amis
Anagnostakis,Manolis,Manolis Anagnostakis
Anderson,Poul,Poul Anderson
Anderson,Sherwood,Sherwood Anderson
Andrade,Mario de,Mario de Andrade
Andreyev,Leonid,Leonid Andreyev
Angelou,Maya,Maya Angelou
Anonymous,,Anonymous
Anselm,,Anselm
Apollinaire,Guillaume,Guillaume Apollinaire
Apuleius,,Apuleius
Aquinas,Saint Thomas,Saint Thomas Aquinas
Aquinas,Thomas,Thomas Aquinas
Aragon,Louis,Louis Aragon
Arbus,Doon,Doon Arbus
Arendt,Hannah,Hannah Arendt
Ariosto,Ludovico,Ludovico Ariosto
Aristotle,,Aristotle
Armitage,Simon,Simon Armitage
Armstrong,William H.,William H. Armstrong
Arnim,Elizabeth von,Elizabeth von Arnim
Arnold,Matthew,Matthew Arnold
Artsybashev,Mikhail,Mikhail Artsybashev
Ashbery,John,John Ashbery
Ashford,Daisy,Daisy Ashford
Atwood,Margaret,Margaret Atwood
Aubrey,John,John Aubrey
Auburn,David,David Auburn
Auden,W. H.,W. H. Auden
Auel,Jean M.,Jean M. Auel
Augustine,,Augustine
Augustine,Saint,Saint Augustine
Augustine,St.,St. Augustine
Aurelius,Marcus,Marcus Aurelius
Austen,Jane,Jane Austen
Auster,Paul,Paul Auster
Austin,J. L.,J. L. Austin
Austin,Mary,Mary Austin
Authors,,Authors
Averroes,,Averroes
Avicenna,,Avicenna
Avila,Teresa of,Teresa of Avila
Avvakum,the Archpriest,the Archpriest Avvakum
Ayer,Sir A.J.,Sir A.J. Ayer
Babbage,Charles,Charles Babbage
Babbitt,Irving,Irving Babbitt
Babbitt,Natalie,Natalie Babbitt
Bach,Richard,Richard Bach
Bachelard,Gaston,Gaston Bachelard
Bacon,Francis,Francis Bacon
Baden-Powell,Robert,Robert Baden-Powell
Badiou,Alain,Alain Badiou
Bailey,H. C.,H. C. Bailey
Bailey,Philip James,Philip James Bailey
Baker,Annie,Annie Baker
Baldacci,David,David Baldacci
Baldwin,James,James Baldwin
Ballantyne,R. M.,R. M. Ballantyne
Balzac,HonorE de,HonorE de Balzac
Balzac,Honore de,Honore de Balzac
Bamba,Cheikh Ahmadou,Cheikh Ahmadou Bamba
Banine,,Banine
Banks,Lynne Reid,Lynne Reid Banks
Barnitz,David Park,David Park Barnitz
Barnum,P. T.,P. T. Barnum
Barrie,J. M.,J. M. Barrie
Barrie,J.M.,J.M. Barrie
Barthes,Roland,Roland Barthes
Basho,Matsuo,Matsuo Basho
Bate,Walter Jackson,Walter Jackson Bate
Battuta,Ibn,Ibn Battuta
Baudelaire,Charles,Charles Baudelaire
Baum,L. Frank,L. Frank Baum
Beah,Ishmael,Ishmael Beah
Beauvoir,Simone de,Simone de Beauvoir
Bechdel,Alison,Alison Bechdel
Becker,Ethan,Ethan Becker
Becker,Marion Rombauer,Marion Rombauer Becker
Beckett,Samuel,Samuel Beckett
Beckford,William,William Beckford
Becquer,Gustavo Adolfo,Gustavo Adolfo Becquer
Beddoes,Thomas Lovell,Thomas Lovell Beddoes
Beerbohm,Max,Max Beerbohm
Beethoven,Ludwig van,Ludwig van Beethoven
Behan,Brendan,Brendan Behan
Behn,Aphra,Aphra Behn
Bellamy,Edward,Edward Bellamy
Bellay,Joachim Du,Joachim Du Bellay
Belloc,Hilaire,Hilaire Belloc
Benjamin,Walter,Walter Benjamin
Bennett,Alan,Alan Bennett
Bennett,Arnold,Arnold Bennett
Benson,E. F.,E. F. Benson
Benson,Godfrey R.,Godfrey R. Benson
Bentham,Jeremy,Jeremy Bentham
Bentley,E. C.,E. C. Bentley
Berger,John,John Berger
Bergson,Henri,Henri Bergson
Berkeley,George,George Berkeley
Berkman,Alexander,Alexander Berkman
Berkoff,Steven,Steven Berkoff
Berlin,Isaiah,Isaiah Berlin
Bernstein,Carl,Carl Bernstein
Berryman,John,John Berryman
Bertrand,Aloysius,Aloysius Bertrand
Bettelheim,Bruno,Bruno Bettelheim
Biedma,Jaime Gil de,Jaime Gil de Biedma
Bierce,Ambrose,Ambrose Bierce
Biggers,Earl Derr,Earl Derr Biggers
Bignozzi,Juana,Juana Bignozzi
Birch,Alice,Alice Birch
Bishop,Elizabeth,Elizabeth Bishop
Black,Jack,Jack Black
